date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:02:52	151796/151796	---M-Z	200	added ('OK')	text/html	etag:W/%2276102002b7ed94c40f02db577d6e31c3%22	https://www.aegmedia.co.uk/	C:/Users/grego/Downloads/argmedia/www.aegmedia.co.uk/index.html	(from )
15:02:52	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2010%20Apr%202024%2013:02:51%20GMT	https://www.aegmedia.co.uk/robots.txt		(from )
15:02:53	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Wed,%2010%20Apr%202024%2013:02:52%20GMT	http://static1.squarespace.com/static/6580d99a0ece6c4572a3de2e/t/65873426fe583f25dd425dc1/1703359526096/image0+(2).png?format=1500w	C:/Users/grego/Downloads/argmedia/static1.squarespace.com/static/6580d99a0ece6c4572a3de2e/t/65873426fe583f25dd425dc1/1703359526096/image0+(2).026f7.delayed	(from https://www.aegmedia.co.uk/)
15:02:56	17398/17398	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2010%20Apr%202024%2013:02:54%20GMT	http://use.typekit.net/ik/EtN0uAEA_IXNC4XhGM_hcarBX5B-3-WmxdFv88MBRqMfeGMIfFHN4UJLFRbh52jhWDju52gq5Q8ywemRZQZRF29awcIDZe9kZs7bMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0-eBa-kuljW4TZhNCZfucpAl8O1FUiABkZWF3jAF8OcFzdP37O1FUiABkZWF3jAF8ShFGZAsude80ZkoRdhXCjAFu-WsoShFGZAsude80ZkoRdhXCjAFu-WsoShFGZAsude80Zko0ZWbCjAm1dAmq-AI0jhv0iACCjWw0dA9C-eBa-kuljW4TZhNCZfucpAl8O1FUiABkZWF3jAF8OcFzdPUCdhFydeyzSabCSaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPUaiaS0jAFu-WsoShFGZAsude80ZkoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0dcmXOYiaikoyZAilZAsTjPoRdkou-kUaiaS0jWw0dA9CiaiaOcyyihCldABk-AizdeblZ18nZPoDSWmyScmDSeBRZPoRdhXCiaiaO1FUiABkZWF3jAF8ShFGZAsude80ZkoRdhXK2hyydY8yScblZe8DSeUypPGHf5A5MyMMeMw6MKGHf5h5MyMMeMS6MKGHf5-5MyMMeMX6MKGHf5E5MyMMegI6MTMgUOH5nMj.js	C:/Users/grego/Downloads/argmedia/use.typekit.net/ik/EtN0uAEA_IXNC4XhGM_hcarBX5B-3-WmxdFv88MBRqMfeGMIfFHN4UJLFRbh52jhWDju52gq5Q8ywemRZQZRF29awcIDZe9kZs7bMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0-eBa-ku	(from https://www.aegmedia.co.uk/)
15:02:56	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/Users/grego/Downloads/argmedia/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.aegmedia.co.uk/)
15:02:59	44229/44229	---M-Z	200	added ('OK')	text/javascript	etag:%22f7681c6c40b93787b4473f76b6a26d93%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-29d764ec453a7d69ca66-min.en-US.js	C:/Users/grego/Downloads/argmedia/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-29d764ec453a7d69ca66-min.en-US.js	(from https://www.aegmedia.co.uk/)
15:03:01	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/Users/grego/Downloads/argmedia/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.aegmedia.co.uk/)
15:03:02	90266/90266	---M-Z	200	added ('OK')	text/javascript	etag:%2239aababd86f4bd0ebdd34b5af5914307%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-e94539391642d3b99900-min.en-US.js	C:/Users/grego/Downloads/argmedia/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-e94539391642d3b99900-min.en-US.js	(from https://www.aegmedia.co.uk/)
15:03:14	246078/246078	---M-Z	200	added ('OK')	text/javascript	etag:%2204c48090d291ab1dc5800b959e7785a7%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-5a7027cd34a39ac0a126-min.en-US.js	C:/Users/grego/Downloads/argmedia/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-5a7027cd34a39ac0a126-min.en-US.js	(from https://www.aegmedia.co.uk/)
15:03:17	1196455/1196455	---M-Z	200	added ('OK')	text/javascript	etag:%22fbe43b1f7f944c9fde759ab090f61c42%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f117db4eb7fd4392375-min.en-US.js	C:/Users/grego/Downloads/argmedia/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f117db4eb7fd4392375-min.en-US.js	(from https://www.aegmedia.co.uk/)
